name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,5yrs
Billy Donovan,44,8.3,2.4,1,2.5,0,0.2,0.4,0.5,0.1,0.5,2,0.4,0,1,0
John Williams,78,22.7,9.2,3.6,8,0.1,0.5,1.8,2.9,1.7,3,2.4,1.7,0.4,1.6,1
David Wingate,77,20.9,8.8,3.4,7.8,0.2,0.7,1.9,2.6,0.9,1.1,2,1.2,0.2,1.7,1
Dwayne Washington,72,22.2,8.6,3.6,7.5,0.1,0.3,1.4,1.7,0.5,1.3,4.2,1.3,0.1,2.4,0
Brad Sellers,80,21.9,8.5,3.5,7.6,0,0.1,1.6,2.2,1.9,2.7,1.3,0.6,0.9,1.1,1
Mark Alarie,64,17.3,7.9,3.4,6.9,0,0.1,1,1.6,1.1,2.2,1.2,0.3,0.4,0.9,0
Roy Tarpley,75,18.7,7.5,3.1,6.7,0,0,1.3,1.9,2.4,4.7,0.7,0.7,1.1,1.3,1
Dennis Rodman,77,15,6.5,2.8,5.1,0,0,1,1.6,2.1,2.2,0.7,0.5,0.6,1.2,1
Anthony Jones,65,13.2,5,2,5,0.1,0.3,0.8,1,0.6,1,1.1,0.6,0.3,0.8,0
Mike Brown,62,13.2,4.2,1.7,3.2,0,0,0.7,1.2,1.1,2.3,0.4,0.3,0.1,1,1
Mo Martin,43,6.7,3.4,1.2,3.1,0.1,0.3,1,1.5,0.3,0.7,0.8,0.3,0.1,0.8,0
Patrick Ewing,50,35.4,20,7.7,16.3,0,0.1,4.5,6.1,2.5,6.5,2,1.1,2.1,3.4,1
Karl Malone,81,30.6,14.9,6.2,12.5,0,0,2.4,5,2.1,6.7,2.9,1.3,0.5,3.4,1
Chris Mullin,55,25.3,14,5.2,11.3,0.1,0.5,3.4,3.8,0.8,1.3,1.9,1.3,0.4,1.4,1
Joe Dumars,82,23.9,9.4,3.5,7.3,0.1,0.2,2.3,2.9,0.7,0.7,4.8,0.8,0.1,1.9,1
Detlef Schrempf,64,15.1,6.2,2.2,4.9,0,0.1,1.7,2.4,1.1,2,1.4,0.4,0.2,1.3,1
Georgi Glouchkov,49,15.8,4.9,1.7,4.3,0,0,1.4,2.5,0.6,2.7,0.7,0.5,0.5,1.6,0
Steve Harris,57,8.5,4.5,1.8,4.1,0,0.1,0.9,0.9,0.4,0.6,0.9,0.4,0.1,0.6,0
John Battle,64,10,4.3,1.6,3.5,0,0.1,1.2,1.6,0.2,0.8,1.2,0.4,0,0.7,1
Mike Phelps,70,12.6,4,1.7,4.1,0,0.2,0.6,1.1,0.4,0.9,1,0.6,0,0.9,0
Manute Bol,80,26.1,3.7,1.6,3.5,0,0,0.5,1.1,1.5,4.4,0.3,0.4,5,0.8,1
Bill Wennington,56,10,3.4,1.3,2.7,0,0.1,0.8,1.1,0.6,1.8,0.4,0.2,0.4,0.4,1
Mike Smrek,38,10.7,2.8,1.2,3.2,0,0.1,0.4,0.8,1.2,1.7,0.5,0.2,0.6,0.8,1
Uwe Blab,48,8.5,2.6,0.9,2,0,0,0.8,1.4,0.5,1.4,0.4,0.1,0.3,0.6,0
Michael Jordan,82,38.3,28.2,10.2,19.8,0.1,0.6,7.7,9.1,2,4.5,5.9,2.4,0.8,3.5,1
Hakeem Olajuwon,82,35.5,20.6,8.3,15.3,0,0,4.1,6.7,5.4,6.5,1.4,1.2,2.7,2.9,1
Charles Barkley,82,28.6,14,5.2,9.5,0,0.1,3.6,4.9,3.2,5.3,1.9,1.2,1,2.5,1
Mel Turpin,79,24.7,10.6,4.6,9,0,0,1.4,1.8,2,3.8,0.5,0.5,1.1,1.5,1
